Classes,UC Berkely B.A,UC Santa Cruz B.A,UC Santa Barbra B.S
MATH,MATH 3A,MATH 3A,MATH 3A
None,MATH 3B,MATH 3B,MATH 3B
None,MATH 3C,MATH 3E,MATH 3C
None,MATH 3E,MATH 3C,MATH 3E
None,MATH 3F,None,MATH 3F
None,None,None,MATH 11
CIS,CIS 61,CIS 20,CIS 20
None,CIS 25,CIS 25,CIS 25
None,CIS 27,CIS 27,CIS 27
None,None,None,None
None,None,None,None
None,None,None,None
PHYS,None,None,PHYS 4A
None,None,None,PHYS 4B
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
Non - Artic, COMPSCI 61C,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
Special,None,None,None