Classes,"University of California, Berkeley, Computer Science, Lower Division B.A.","University of California, Berkeley, Electrical Engineering & Computer Sciences, Lower Division B.S.","University of California, Davis, Computer Engineering B.S.","University of California, Davis, Computer Science & Engineering B.S.","University of California, Davis, Computer Science B.S.","University of California, Irvine, Computer Engineering, B.S.","University of California, Irvine, Computer Science and Engineering, B.S.","University of California, Irvine, Computer Science, B.S.","University of California, Los Angeles, Computer Engineering/B.S.","University of California, Los Angeles, Computer Science and Engineering/B.S.","University of California, Los Angeles, Computer Science/B.S.","University of California, Los Angeles, Linguistics and Computer Science/B.A.","University of California, Merced, Applied Mathematical Sciences, Computer Science Emphasis, B.S.","University of California, Merced, Computer Science and Engineering, B.S.","University of California, Riverside, Computer Engineering, B.S.","University of California, Riverside, Computer Science with Business Applications B.S.","University of California, Riverside, Computer Science, B.S.","University of California, San Diego, Art: Interdisciplinary Computing in the Arts Major (ICAM) B.A. (Visual Arts)","University of California, San Diego, CSE: Computer Engineering B.S.","University of California, San Diego, CSE: Computer Science B.S.","University of California, San Diego, CSE: Computer Science with a Specialization in Bioinformatics B.S.","University of California, San Diego, ECE: Computer Engineering B.S.","University of California, San Diego, Mathematics/Computer Science B.S.","University of California, San Diego, Music: Interdisciplinary Computing in the Arts Major (ICAM) B.A.","University of California, Santa Barbara, Computer Engineering, B.S.","University of California, Santa Barbara, Computer Science, B.S.","University of California, Santa Barbara, Creative Studies - Computing, B.S.","University of California, Santa Cruz, Computer Engineering B.S.","University of California, Santa Cruz, Computer Engineering B.S.","University of California, Santa Cruz, Computer Science B.A.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science B.S.","University of California, Santa Cruz, Computer Science: Computer Game Design B.S."
MATH,MATH 3A,None,None,None,None,MATH 11,MATH 11,MATH 3A,MATH 3A,None,MATH 3A,MATH 3A,MATH 3A,MATH 3A,MATH 3A,MATH 3A,MATH 3A,MATH 16A,None,MATH 11,MATH 3,MATH 11,None,None,MATH 3A,MATH 3A,None,MATH 3A,None,MATH 3A,MATH 3A,None,MATH 11
None,MATH 3B,None,None,None,None,MATH 3C,MATH 3C,MATH 3B,MATH 3C,None,None,MATH 3B,MATH 3B,MATH 3B,MATH BB,MATH 11,MATH BB,MATH 11,None,MATH 3,None,None,None,None,MATH 3B,MATH 3B,None,MATH 3B,None,MATH 3B,MATH 3B,None,MATH 3A
None,MATH 3C,None,None,None,None,None,MATH 3,MATH 3,MATH 3,None,None,None,MATH 3C,MATH 3C,MATH 11,MATH 3,MATH 11,MATH 3,None,MATH 3A,None,None,None,None,MATH 3,MATH 3,None,MATH 3,None,MATH 11,MATH 11,None,MATH 3B
None,None,None,None,None,None,None,MATH 3F,None,MATH 3F,None,None,None,None,None,None,None,MATH 3C,MATH 3A,None,MATH 3B,None,None,None,None,MATH 3F,MATH 3F,None,MATH 3C,None,MATH 3,MATH 3,None,MATH 3
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MATH 3,None,None,MATH 3C,None,None,None,None,MATH 3C,MATH 3C,None,MATH 11,None,MATH 3C,MATH 3C,None,None
CIS,CIS 61,CIS 61,None,None,None,CIS 25,CIS 27,CIS 27,CIS 3,CIS 3,CIS 3,CIS 3,CIS 20,None,CIS 25,CIS 25,CIS 25,CIS 36A,CIS 36A,CIS 36A,CIS 36A,CIS 36A,None,None,None,None,None,CIS 20,None,CIS 27,CIS 27,None,CIS 27
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIS 61,CIS 61,CIS 61,None,None,None,None,None,None,None,None,None,None,CIS 27,None,CIS 20,CIS 20,None,CIS 20
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIS 20,CIS 27,CIS 27,None,None,None,None,None,None,None,None,None,None,CIS 61,None,None,None,None,CIS 61
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CIS 27,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
PHYS,None,None,None,None,None,None,None,None,None,None,None,None,None,None,PHYS 4A,None,PHYS 4A,None,None,PHYS 4A,PHYS 4A,None,None,None,PHYS 4A,PHYS 4A,None,PHYS 4A,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,PHYS 4B,None,None,None,None,None,None,None,PHYS 4B,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
CHEM,None,CHEM 1B,None,None,None,None,None,None,None,None,None,None,CHEM 1A,None,None,None,None,None,None,CHEM 1A,CHEM 1A,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,CHEM 12A,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
BIOL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ECE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Non-Artic,COMPSCI 61C,COMPSCI 61C,None,None,None,EECS 20,SCI 6B,SCI 45C,SCI 31,SCI 31,SCI 31,MATH 31AL,MATH 032,CSE 020,None,None,None,CSE 8A,CSE 8A,CSE 8A,CSE 8A,CSE 8A,None,None,ECE 15A,None,None,ECE 13,None,None,None,None,ECE 13
None,EECS 16A,EECS 16B,None,None,None,EECS 22,STATS 67,SCI 51,SCI 32,SCI 32,SCI 32,MATH 70,CSE 015,CSE 021,None,None,None,CSE 8B,CSE 8B,CSE 8B,CSE 8B,CSE 8B,None,None,ECE 1A,None,None,ECE 9,None,None,None,None,ARTG 80G
None,None,None,None,None,None,EECS 22L,CSE 90,STATS 67,SCI 33,SCI 33,SCI 33,SCI 31,CSE 022,None,None,None,None,None,CSE 12,CSE 12,CSE 12,CSE 12,None,None,ECE 1B,None,None,None,None,None,None,None,ARTG 80H
None,None,None,None,None,None,EECS 31,SCI 45C€,None,SCI M51A,SCI M51A,SCI M51A,SCI 32,CSE 024,None,None,None,None,None,CSE 15L,CSE 15L,CSE 15L,CSE 15L,None,None,ECE 10A,None,None,None,None,None,None,None,CMPM 80K
None,None,None,None,None,None,EECS 31L,EECS 31,None,None,None,None,SCI 33,None,None,None,None,None,None,None,CSE 30,CSE 21,CSE 21,None,None,ECE 10AL,None,None,None,None,None,None,None,FILM 80V
None,None,None,None,None,None,EECS 40,EECS 31L,None,None,None,None,SCI 35L,None,None,None,None,None,None,None,None,CSE 30,CSE 30,None,None,ECE 10B,None,None,None,None,None,None,None,None
None,None,None,None,None,None,EECS 50,EECS 50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ECE 10BL,None,None,None,None,None,None,None,None
None,None,None,None,None,None,EECS 55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ECE 10C,None,None,None,None,None,None,None,None
None,None,None,None,None,None,SCI 6B,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ECE 10CL,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Links," https://assist.org/transfer/report/26276320
"," https://assist.org/transfer/report/26277239
"," https://assist.org/transfer/report/26364282
"," https://assist.org/transfer/report/26365504
"," https://assist.org/transfer/report/26507091
"," https://assist.org/transfer/report/26288236
"," https://assist.org/transfer/report/26288161
"," https://assist.org/transfer/report/26288465
"," https://assist.org/transfer/report/26090233
"," https://assist.org/transfer/report/26089232
"," https://assist.org/transfer/report/26089343
"," https://assist.org/transfer/report/26090123
"," https://assist.org/transfer/report/26520102
"," https://assist.org/transfer/report/26520130
"," https://assist.org/transfer/report/26426150
"," https://assist.org/transfer/report/26426489
"," https://assist.org/transfer/report/26426602
"," https://assist.org/transfer/report/26386064
"," https://assist.org/transfer/report/26380249
"," https://assist.org/transfer/report/26380311
"," https://assist.org/transfer/report/26380376
"," https://assist.org/transfer/report/26380483
"," https://assist.org/transfer/report/26383512
"," https://assist.org/transfer/report/26383786
"," https://assist.org/transfer/report/26545550
"," https://assist.org/transfer/report/26545549
"," https://assist.org/transfer/report/26545527
"," https://assist.org/transfer/report/26355809
"," https://assist.org/transfer/report/26355887
"," https://assist.org/transfer/report/26355807
"," https://assist.org/transfer/report/26355810
"," https://assist.org/transfer/report/26355901
"," https://assist.org/transfer/report/26355814
"
